datetime,open,high,low,close
2026-08-08 12:55:00+00:00,4342.26079,4342.45739,4342.20084,4342.32052
2026-08-08 13:00:00+00:00,4342.26233,4342.39274,4342.23093,4342.3542
2026-08-08 13:05:00+00:00,4342.26233,4342.45531,4342.19808,4342.36314
2026-08-08 13:10:00+00:00,4342.26216,4342.41986,4342.23496,4342.23496
2026-08-08 13:15:00+00:00,4342.26078,4342.46167,4342.20063,4342.34212
2026-08-08 13:20:00+00:00,4342.26233,4342.39474,4342.24432,4342.35554
2026-08-08 13:25:00+00:00,4342.26577,4342.45883,4342.20553,4342.37075
2026-08-08 13:30:00+00:00,4342.2676,4342.41517,4342.23766,4342.23766
2026-08-08 13:35:00+00:00,4342.2614,4342.45942,4342.19936,4342.34641
2026-08-08 13:40:00+00:00,4342.27028,4342.40422,4342.25308,4342.35251
2026-08-08 13:45:00+00:00,4342.26579,4342.46147,4342.20828,4342.26262
2026-08-08 13:50:00+00:00,4342.26776,4342.40853,4342.24649,4342.24649
2026-08-08 13:55:00+00:00,4342.2664,4342.45811,4342.201,4342.34739
2026-08-08 14:00:00+00:00,4342.26822,4342.41358,4342.26247,4342.35029
2026-08-08 14:05:00+00:00,4342.26581,4342.46121,4342.20663,4342.258
2026-08-08 14:10:00+00:00,4342.26749,4342.40054,4342.24802,4342.24817
2026-08-08 14:15:00+00:00,4342.26506,4342.46275,4342.20173,4342.34958
2026-08-08 14:20:00+00:00,4342.27039,4342.42419,4342.26326,4342.34886
2026-08-08 14:25:00+00:00,4342.26663,4342.45417,4342.1986,4342.24799
2026-08-08 14:30:00+00:00,4342.26206,4342.39216,4342.23931,4342.25039
2026-08-08 14:35:00+00:00,4342.2631,4342.46262,4342.20354,4342.35032
2026-08-08 14:40:00+00:00,4342.26827,4342.43034,4342.26455,4342.34748
2026-08-08 14:45:00+00:00,4342.26585,4342.45767,4342.20312,4342.25007
2026-08-08 14:50:00+00:00,4342.26769,4342.40209,4342.23216,4342.25665
2026-08-08 14:55:00+00:00,4342.26468,4342.46337,4342.20442,4342.35287
2026-08-08 15:00:00+00:00,4342.26859,4342.43776,4342.25373,4342.34523
2026-08-08 15:05:00+00:00,4342.26377,4342.45426,4342.20289,4342.24657
2026-08-08 15:10:00+00:00,4342.26736,4342.40958,4342.22515,4342.26133
2026-08-08 15:15:00+00:00,4342.26462,4342.46307,4342.20293,4342.35609
2026-08-08 15:20:00+00:00,4342.26863,4342.4442,4342.24655,4342.34354
2026-08-08 15:25:00+00:00,4342.26383,4342.45341,4342.19804,4342.23778
2026-08-08 15:30:00+00:00,4342.262,4342.41527,4342.21136,4342.31596
2026-08-08 15:35:00+00:00,4342.25856,4342.45602,4342.19676,4342.35333
2026-08-08 15:40:00+00:00,4342.26267,4342.44434,4342.23197,4342.34032
2026-08-08 15:45:00+00:00,4342.26028,4342.45881,4342.20551,4342.241
2026-08-08 15:50:00+00:00,4342.26729,4342.42638,4342.21401,4342.32314
2026-08-08 15:55:00+00:00,4342.26451,4342.45944,4342.19937,4342.36121
2026-08-08 16:00:00+00:00,4342.26869,4342.45444,4342.22857,4342.3399
2026-08-08 16:05:00+00:00,4342.26395,4342.45958,4342.20832,4342.2389
2026-08-08 16:10:00+00:00,4342.26727,4342.43367,4342.20982,4342.32503
